cell_angle	gene_angle	expression
-2.8587906120383835	2.8619792461395264	-0.8407378
-2.8587906120383835	2.922391653060913	-0.8248903
-2.8587906120383835	2.9931423664093018	-0.61140454
-2.8587906120383835	3.0448696613311768	-0.79141515
-2.8587906120383835	3.10886549949646	-0.7157659
-2.7964846600449484	-3.109478712081909	-0.73495126
-2.7964846600449484	-3.0473597049713135	-0.73299295
-2.7964846600449484	-2.985633373260498	-0.6933249
-2.7964846600449484	-2.9224565029144287	-0.5461045
-2.7964846600449484	-2.856133222579956	-0.6205706
-2.7964846600449484	-2.797699213027954	-0.58191633
-2.7964846600449484	-2.7291858196258545	-0.5541181
-2.7964846600449484	-2.6618740558624268	-0.48480898
-2.7964846600449484	-2.602829933166504	-0.574589
-2.7964846600449484	-2.5442583560943604	-0.5207058
-2.7964846600449484	-2.4804086685180664	-0.42922944
-2.7964846600449484	-2.415600299835205	-0.464454
-2.7964846600449484	-2.3584494590759277	-0.27735215
-2.7964846600449484	-2.2947964668273926	-0.35963482
-2.7964846600449484	-2.2297050952911377	-0.29250473
-2.7964846600449484	-2.168456792831421	-0.24547446
-2.7964846600449484	-2.101581573486328	-0.17612816
-2.7964846600449484	-2.0458967685699463	-0.25587025
-2.7964846600449484	-1.9777483940124512	-0.18249165
-2.7964846600449484	-1.9128226041793823	-0.14821772
-2.7964846600449484	-1.8519814014434814	-0.09873153
-2.7964846600449484	-1.7941845655441284	-0.08461452
-2.7964846600449484	-1.7273229360580444	-0.21085335
-2.7964846600449484	-1.6651979684829712	-0.14344247
-2.7964846600449484	-1.6075050830841064	0.009015684
-2.7964846600449484	-1.5443035364151	-0.0063730557
-2.7964846600449484	-1.4727277755737305	0.09662188
-2.7964846600449484	-1.4139424562454224	0.09004952
-2.7964846600449484	-1.3455209732055664	0.22438161
-2.7964846600449484	-1.2895607948303223	0.147035
-2.7964846600449484	-1.221773386001587	0.15826018
-2.7964846600449484	-1.164669156074524	0.21957931
-2.7964846600449484	-1.099971055984497	0.21124513
-2.7964846600449484	-1.0343983173370361	0.38238055
-2.7964846600449484	-0.9739236831665039	0.23566404
-2.7964846600449484	-0.9119856357574463	0.29665557
-2.7964846600449484	-0.8440308570861816	0.3182804
-2.7964846600449484	-0.7903368473052979	0.32945368
-2.7964846600449484	-0.7244436740875244	0.35474527
-2.7964846600449484	-0.6612889766693115	0.43673876
-2.7964846600449484	-0.595792293548584	0.3279698
-2.7964846600449484	-0.5361325740814209	0.44603235
-2.7964846600449484	-0.47090935707092285	0.49237582
-2.7964846600449484	-0.4109535217285156	0.4383422
-2.7964846600449484	-0.34644317626953125	0.45736876
-2.7964846600449484	-0.2832071781158447	0.43509322
-2.7964846600449484	-0.21805453300476074	0.5112344
